"title","comment","trip","writer","written","rating"
"Remarkable Repository of Culture","I was overwhelmed with this cornucopia of historical culture and visited 3 times in 6 days.Be prepared to engorge your heart, mind and soul in the numerous collections laid out before you.","October 2020","paulyMaine","Jan 10",5
"Amazing Museum","British Museum always worth a visit no matter how many times you have already visited it. Huge collection well displayed and it offers fun for every age and interest. Another good reason for visit it? It is for free (permanet collection).","February 2020","Tati_Luz","Jan 5",5
"Beautiful, must see museum!","I went before we had tier 4 in London and I felt incredibly safe and socially distanced.   The artefacts in each room were just breathtaking and take you through many different civilisations. The entrance is just beautiful! For any history lover I advise that this is the museum you see if you visit London. As a Londoner I'm super surprised to took me so long to come and see it for myself.   The Egyptian artefacts in particular are beautiful.   A must see in London!…","November 2020","raynerjosephine","Dec 2020",5
"Make sure you donate!","I only have good things to say about The British Museum! The collection is phenomenal and the staff are very friendly. Facilities are clean, limited waiting time, excellent cafes and a fantastic place to learn more about Ancient Civilisations.","November 2020","Ipek","Dec 2020",5
"Epic Museum with something for everyone","From the walk up to the building and then entering the grand hall you know this is a pretty special place. We went with young kids so couldn’t see everything before they reached their limited but they were super excited about at the stuff they saw and I te kong if you love history you could spend days wandering around this place and still find new things to intrigue. …","January 2020","Anthony G","Dec 2020",5
"Very Very Good","I went to this museum only last week and I wasn’t disappointed.  I went to see the artic exhibition and learnt a lot of fascinating stuff in how the Inuits lived. Like, did you know that the Inuits made these FABULOUS ivory sculptures. This is a must see. Then, I saw the Rosetta…","December 2020","Borisandhis60kids","Dec 2020",5
"British Museum 15.12.20","Decided to book a visit before we go into tier three(who knows when that will end!).This is my second visit(last one in September).Followed the one way system and was there for 2 and half hours.I prefer the system at the Vand A,where you can go wherever you like without any…","December 2020","hilary d","Dec 2020",4
"Arctic","This exhibition is very well presented and gives the viewer an in depth look into the lifestyle, art, history and culture of those living in and around the Arctic Circle. I would thoroughly recommend going to see this.","December 2020","sheepygold","Dec 2020",5
"Easy access.....! ","Clean and quiet.... If you have time for museum visit, u should do it now... There is no crowd and it's really quite atmosphere.... Perfect <U+0001F44C> ","December 2020","Stanimirko","Dec 2020",5
"Long visit ","My family  member has got his paintings here sadly he is passed away but his art lives on in this place ","February 2020","Amy C","Dec 2020",3
"Enjoyable Visit, well managed.","Enjoyable visit, plenty to see and good range of exhibits. Well manged one way route (unfortunately means you cant view everything), and plenty of staff on hand.","October 2020","Emily","Dec 2020",5
"Best museum in London","By far the best and most interesting museums in London. Wide range of displays covering different periods of history.","December 2020","Rik K","Dec 2020",5
"Our day at the British Museum","The ground floor of the museum is a little bewildering but the contents of the museum as a whole are a great British treasure. It is a place that everyone should visit because there is so much to learn.","March 2020","Frank/Francis Farmer","Dec 2020",4
"See the ancient worlds in one day  -  or more","The British Museum – It would take a book to cover the essentials to see in Britain’s most venerated museum.  It has treasures from around the world, many from the colonial period when British explorers and agents found great examples from around the world and brought them to…","December 2019","John","Nov 2020",5
"great day out","great day out for all of the family! something for everyone , so educational as well ! good for sight seeing as well","December 2019","Ameillia Cameron-clarke","Nov 2020",5
"Historical journey","This museum offers you a travel from the ancient Egypt to the frontlines of World War 2. From the history museums I've ever seen, this seems to be the most complex. ","December 2019","Cristian Barbu","Nov 2020",5
"Parthenon murbles","The Parthenon marbles don't belong to here. It's unfortunate that this museum still not has returned it to one of the greatest buildings in Ancient times in Greece.","February 2020","Fhftg","Nov 2020",1
"Excellent despite challenging circumstances ","Booked tickets on line Turned up on time and straight in Felt safe Amazing to see the antiquities Great setting too Some of the smaller more compact areas closed but saw all the highlights Very good","November 2020","MJH1","Nov 2020",5
"Make the effort to visit now","We wanted to just see the Ancient Greek section, so we booked up a slot. We spent about 90 minutes and it was excellent. Although there were a lot of people it was not so full and you were able to see all the exhibits with time and space.  To visit now is a great experience and…","October 2020","Chris W","Nov 2020",4
"Great day out in London at the BM","Such an important and valuable collection.  Fascinating pieces on display.  A great day out with friends.","February 2020","Amy P","Nov 2020",4
"Overcrowded","We went to the Tantra exhibition. They were letting people queue and enter regardless of time slot once inside it was super crowded and packed. You'd never know we are in the middle of a pandemic. It wasn't safe and we left as it was impossible to manage safe distancing. Very…","October 2020","Sam B","Oct 2020",1
"Miserable staff","Unfriendly staff throughout not much to see or to keep children amused during half term week. Lots of areas blocked off including toilets. Very poor.","October 2020","Roberta N","Oct 2020",2
"Not everything accessible","We pre booked our ticket online and walked in without waiting.  It was great to be able to see things without the usual scrum but I was really disappointed at the large amount of galleries that weren't accessible at the moment - but understand the guidelines have to be followed.…","October 2020","DDav","Oct 2020",4
"Good tour for British history","Really good museum for those interested in British history. It's been a few years since I went here last but it was nice to learn more information and see some great artifacts. Look forward to going again.","October 2020","Charlie","Oct 2020",5
"Amazing venue...","Everything you though it would be and more. Goes without saying the Egyptian rooms are truly spectacular. Well laid out covid restrictions as well.","October 2020","Dennis","Oct 2020",4
"Arctic exhibition","Good exhibition, though perhaps not as spectacular as some of the museums special exhibitions. I would be way about attending if you have concerns about covid though. The exhibition was busier than expected (you still got scrums of people around particular displays) but more…","October 2020","HoffDog37","Oct 2020",4
"Small but perfectly formed","Visited with my daughter today and really enjoyed our time there. Everything is well organised and apart from a few bad eggs, mask wearing and social distancing were adhered to. It’s a beautiful building but there was a lot less to see than I anticipated - that being said we had…","October 2020","Kayleigh B","Oct 2020",4
"Lovely  time out","We could Stay days Very interesting  place  Just queue bit long but it worth  it free so Let suffer  bit","November 2019","Xavelhinha A","Oct 2020",5
"A fantastic museum doing its best with Covid","The British Museum is one of the top museums in the world. Not only does it house some of the world’s most important pieces but there is both a depth and width to its collection.  The museum has reopened after lockdown however most of the collection isn’t on view (most of what’s…","October 2020","pnhmrk","Oct 2020",3
"A long one-way walk through","Having booked in advance, it was straightforward to  follow the arrows and see their selection of pieces from ancient times up to more recent.  You can leave the trail at intervals to have a cup of tea or go round the shop, then rejoin the path where you left off.  It's a good…","October 2020","lornabookworm","Oct 2020",5
"A little bit of history.","Visited as a child and coming back evoked so many memories. Could happily wander around there for hours","October 2020","Lindsay S","Oct 2020",5
"If you like old stuff ...","... this is the place for you. Loved wandering round the museum - even though the exhibits are not really my thing. ","October 2020","Karen E","Oct 2020",4
"Lovely morning ...","... spent perusing the exhibitions. Nice helpful staff, felt they cared to keep us safe and were pleased to see us.  Thanks.","October 2020","AdeW6","Oct 2020",5
"A wet day in London","Amazing and it’s free.  Egypt was just like a childhood dream . Fascinating history and I wish I could book a trip to Egypt","October 2020","Mark S","Oct 2020",5
"Interesting but...","Nice place, but the COVID 1-way routing was welcomed but got annoying.  We were able to eat lunch in the cafe.  I'm not sure how much of the museum was not open but I'm glad we didn't bring the kids. The free audio is a joke, it's just incomplete clips.  If they aren't going to…","October 2020","Billisen C","Oct 2020",3
"Wonderful Experience","The Egyptian displays are amazing we have visited Egypt many times and been lucky enough to see some of the wonderful sights. This is as good as it gets outside of the relics natural environment. Well worth a visit or two! The building is also amazing and easy to get to.","October 2020","sharonmort2019","Oct 2020",5
"Perfect visit","Great experience to explore  Egypt, Roman  and British Empire collection. Beautiful experience, beautiful place, with the whole world inside, a unique, unforgettable experience.","October 2020","Luisa I","Oct 2020",5
"History of the world","The best museum in the London, the history in this place is incredibly fantastic. The Egypt department is unique.","September 2020","Amelia.p","Oct 2020",5
"Love the British Museum","Usually end up in here on a rainy day, occasionally have afternoon tea in the restaurant, but just love a quiet afternoon soaking up history.","January 2020","HoppyFace","Oct 2020",5
