"","title","writer","written","rating","comment"
"1","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"i was overwhelmed with this cornucopia of historical culture and visited  times in  daysbe prepared to engorge your heart mind and soul in the numerous collections laid out before you"
"2","Amazing Museum","Tati_Luz","Jan 5",5,"british museum always worth a visit no matter how many times you have already visited it huge collection well displayed and it offers fun for every age and interest another good reason for visit it it is for free permanet collection"
"3","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"i went before we had tier  in london and i felt incredibly safe and socially distanced   the artefacts in each room were just breathtaking and take you through many different civilisations the entrance is just beautiful for any history lover i advise that this is the museum you see if you visit london as a londoner im super surprised to took me so long to come and see it for myself   the egyptian artefacts in particular are beautiful   a must see in london…"
"4","Make sure you donate!","Ipek","Dec 2020",5,"i only have good things to say about the british museum the collection is phenomenal and the staff are very friendly facilities are clean limited waiting time excellent cafes and a fantastic place to learn more about ancient civilisations"
"5","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"from the walk up to the building and then entering the grand hall you know this is a pretty special place we went with young kids so couldn’t see everything before they reached their limited but they were super excited about at the stuff they saw and i te kong if you love history you could spend days wandering around this place and still find new things to intrigue …"
"6","Very Very Good","Borisandhis60kids","Dec 2020",5,"i went to this museum only last week and i wasn’t disappointed  i went to see the artic exhibition and learnt a lot of fascinating stuff in how the inuits lived like did you know that the inuits made these fabulous ivory sculptures this is a must see then i saw the rosetta…"
"7","British Museum 15.12.20","hilary d","Dec 2020",4,"decided to book a visit before we go into tier threewho knows when that will endthis is my second visitlast one in septemberfollowed the one way system and was there for  and half hoursi prefer the system at the vand awhere you can go wherever you like without any…"
"8","Arctic","sheepygold","Dec 2020",5,"this exhibition is very well presented and gives the viewer an in depth look into the lifestyle art history and culture of those living in and around the arctic circle i would thoroughly recommend going to see this"
"9","Easy access.....! ","Stanimirko","Dec 2020",5,"clean and quiet if you have time for museum visit u should do it now there is no crowd and its really quite atmosphere perfect ufc "
"10","Long visit ","Amy C","Dec 2020",3,"my family  member has got his paintings here sadly he is passed away but his art lives on in this place "
"11","Enjoyable Visit, well managed.","Emily","Dec 2020",5,"enjoyable visit plenty to see and good range of exhibits well manged one way route unfortunately means you cant view everything and plenty of staff on hand"
"12","Best museum in London","Rik K","Dec 2020",5,"by far the best and most interesting museums in london wide range of displays covering different periods of history"
"13","Our day at the British Museum","Frank/Francis Farmer","Dec 2020",4,"the ground floor of the museum is a little bewildering but the contents of the museum as a whole are a great british treasure it is a place that everyone should visit because there is so much to learn"
"14","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"the british museum – it would take a book to cover the essentials to see in britain’s most venerated museum  it has treasures from around the world many from the colonial period when british explorers and agents found great examples from around the world and brought them to…"
"15","great day out","Ameillia Cameron-clarke","Nov 2020",5,"great day out for all of the family something for everyone  so educational as well  good for sight seeing as well"
"16","Historical journey","Cristian Barbu","Nov 2020",5,"this museum offers you a travel from the ancient egypt to the frontlines of world war  from the history museums ive ever seen this seems to be the most complex "
"17","Parthenon murbles","Fhftg","Nov 2020",1,"the parthenon marbles dont belong to here its unfortunate that this museum still not has returned it to one of the greatest buildings in ancient times in greece"
"18","Excellent despite challenging circumstances ","MJH1","Nov 2020",5,"booked tickets on line turned up on time and straight in felt safe amazing to see the antiquities great setting too some of the smaller more compact areas closed but saw all the highlights very good"
"19","Make the effort to visit now","Chris W","Nov 2020",4,"we wanted to just see the ancient greek section so we booked up a slot we spent about  minutes and it was excellent although there were a lot of people it was not so full and you were able to see all the exhibits with time and space  to visit now is a great experience and…"
"20","Great day out in London at the BM","Amy P","Nov 2020",4,"such an important and valuable collection  fascinating pieces on display  a great day out with friends"
"21","Overcrowded","Sam B","Oct 2020",1,"we went to the tantra exhibition they were letting people queue and enter regardless of time slot once inside it was super crowded and packed youd never know we are in the middle of a pandemic it wasnt safe and we left as it was impossible to manage safe distancing very…"
"22","Miserable staff","Roberta N","Oct 2020",2,"unfriendly staff throughout not much to see or to keep children amused during half term week lots of areas blocked off including toilets very poor"
"23","Not everything accessible","DDav","Oct 2020",4,"we pre booked our ticket online and walked in without waiting  it was great to be able to see things without the usual scrum but i was really disappointed at the large amount of galleries that werent accessible at the moment  but understand the guidelines have to be followed…"
"24","Good tour for British history","Charlie","Oct 2020",5,"really good museum for those interested in british history its been a few years since i went here last but it was nice to learn more information and see some great artifacts look forward to going again"
"25","Amazing venue...","Dennis","Oct 2020",4,"everything you though it would be and more goes without saying the egyptian rooms are truly spectacular well laid out covid restrictions as well"
"26","Arctic exhibition","HoffDog37","Oct 2020",4,"good exhibition though perhaps not as spectacular as some of the museums special exhibitions i would be way about attending if you have concerns about covid though the exhibition was busier than expected you still got scrums of people around particular displays but more…"
"27","Small but perfectly formed","Kayleigh B","Oct 2020",4,"visited with my daughter today and really enjoyed our time there everything is well organised and apart from a few bad eggs mask wearing and social distancing were adhered to it’s a beautiful building but there was a lot less to see than i anticipated  that being said we had…"
"28","Lovely  time out","Xavelhinha A","Oct 2020",5,"we could stay days very interesting  place  just queue bit long but it worth  it free so let suffer  bit"
"29","A fantastic museum doing its best with Covid","pnhmrk","Oct 2020",3,"the british museum is one of the top museums in the world not only does it house some of the world’s most important pieces but there is both a depth and width to its collection  the museum has reopened after lockdown however most of the collection isn’t on view most of what’s…"
"30","A long one-way walk through","lornabookworm","Oct 2020",5,"having booked in advance it was straightforward to  follow the arrows and see their selection of pieces from ancient times up to more recent  you can leave the trail at intervals to have a cup of tea or go round the shop then rejoin the path where you left off  its a good…"
"31","A little bit of history.","Lindsay S","Oct 2020",5,"visited as a child and coming back evoked so many memories could happily wander around there for hours"
"32","If you like old stuff ...","Karen E","Oct 2020",4," this is the place for you loved wandering round the museum  even though the exhibits are not really my thing "
"33","Lovely morning ...","AdeW6","Oct 2020",5," spent perusing the exhibitions nice helpful staff felt they cared to keep us safe and were pleased to see us  thanks"
"34","A wet day in London","Mark S","Oct 2020",5,"amazing and it’s free  egypt was just like a childhood dream  fascinating history and i wish i could book a trip to egypt"
"35","Interesting but...","Billisen C","Oct 2020",3,"nice place but the covid way routing was welcomed but got annoying  we were able to eat lunch in the cafe  im not sure how much of the museum was not open but im glad we didnt bring the kids the free audio is a joke its just incomplete clips  if they arent going to…"
"36","Wonderful Experience","sharonmort2019","Oct 2020",5,"the egyptian displays are amazing we have visited egypt many times and been lucky enough to see some of the wonderful sights this is as good as it gets outside of the relics natural environment well worth a visit or two the building is also amazing and easy to get to"
"37","Perfect visit","Luisa I","Oct 2020",5,"great experience to explore  egypt roman  and british empire collection beautiful experience beautiful place with the whole world inside a unique unforgettable experience"
"38","History of the world","Amelia.p","Oct 2020",5,"the best museum in the london the history in this place is incredibly fantastic the egypt department is unique"
"39","Love the British Museum","HoppyFace","Oct 2020",5,"usually end up in here on a rainy day occasionally have afternoon tea in the restaurant but just love a quiet afternoon soaking up history"
