"","title","writer","written","rating","word","sentiment_bayes"
"1","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"overwhelmed","unknown"
"2","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"cornucopia","unknown"
"3","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"historical","unknown"
"4","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"culture","unknown"
"5","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"visited","unknown"
"6","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"times","unknown"
"7","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"daysbe","unknown"
"8","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"prepared","unknown"
"9","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"engorge","unknown"
"10","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"heart","joy"
"11","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"mind","unknown"
"12","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"soul","unknown"
"13","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"numerous","unknown"
"14","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"collections","unknown"
"15","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"laid","unknown"
"16","Amazing Museum","Tati_Luz","Jan 5",5,"british","unknown"
"17","Amazing Museum","Tati_Luz","Jan 5",5,"museum","unknown"
"18","Amazing Museum","Tati_Luz","Jan 5",5,"worth","unknown"
"19","Amazing Museum","Tati_Luz","Jan 5",5,"visit","unknown"
"20","Amazing Museum","Tati_Luz","Jan 5",5,"matter","unknown"
"21","Amazing Museum","Tati_Luz","Jan 5",5,"times","unknown"
"22","Amazing Museum","Tati_Luz","Jan 5",5,"visited","unknown"
"23","Amazing Museum","Tati_Luz","Jan 5",5,"huge","unknown"
"24","Amazing Museum","Tati_Luz","Jan 5",5,"collection","unknown"
"25","Amazing Museum","Tati_Luz","Jan 5",5,"displayed","unknown"
"26","Amazing Museum","Tati_Luz","Jan 5",5,"offers","unknown"
"27","Amazing Museum","Tati_Luz","Jan 5",5,"fun","unknown"
"28","Amazing Museum","Tati_Luz","Jan 5",5,"age","unknown"
"29","Amazing Museum","Tati_Luz","Jan 5",5,"reason","unknown"
"30","Amazing Museum","Tati_Luz","Jan 5",5,"visit","unknown"
"31","Amazing Museum","Tati_Luz","Jan 5",5,"free","unknown"
"32","Amazing Museum","Tati_Luz","Jan 5",5,"permanet","unknown"
"33","Amazing Museum","Tati_Luz","Jan 5",5,"collection","unknown"
"34","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"tier","unknown"
"35","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"london","unknown"
"36","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"incredibly","unknown"
"37","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"safe","unknown"
"38","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"socially","unknown"
"39","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"distanced","unknown"
"40","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"artefacts","unknown"
"41","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"breathtaking","unknown"
"42","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"civilisations","unknown"
"43","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"entrance","joy"
"44","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"beautiful","unknown"
"45","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"history","unknown"
"46","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"lover","unknown"
"47","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"advise","unknown"
"48","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"museum","unknown"
"49","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"visit","unknown"
"50","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"london","unknown"
"51","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"londoner","unknown"
"52","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"im","unknown"
"53","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"super","unknown"
"54","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"surprised","surprise"
"55","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"egyptian","unknown"
"56","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"artefacts","unknown"
"57","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"beautiful","unknown"
"58","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"london","unknown"
"59","Make sure you donate!","Ipek","Dec 2020",5,"british","unknown"
"60","Make sure you donate!","Ipek","Dec 2020",5,"museum","unknown"
"61","Make sure you donate!","Ipek","Dec 2020",5,"collection","unknown"
"62","Make sure you donate!","Ipek","Dec 2020",5,"phenomenal","unknown"
"63","Make sure you donate!","Ipek","Dec 2020",5,"staff","unknown"
"64","Make sure you donate!","Ipek","Dec 2020",5,"friendly","joy"
"65","Make sure you donate!","Ipek","Dec 2020",5,"facilities","unknown"
