"","text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","overwhelmed",0,0,0,0,0,1,0,0,1,0
"2","cornucopia",0,0,0,0,0,0,0,0,0,0
"3","historical",0,0,0,0,0,0,0,0,0,0
"4","culture",0,0,0,0,0,0,0,0,0,1
"5","visited",0,0,0,0,0,0,0,0,0,0
"6","times",0,0,0,0,0,0,0,0,0,0
"7","daysbe",0,0,0,0,0,0,0,0,0,0
"8","prepared",0,1,0,0,0,0,0,1,0,1
"9","engorge",0,0,0,0,0,0,0,0,0,0
"10","heart",0,0,0,0,0,0,0,0,0,0
"11","mind",0,0,0,0,0,0,0,0,0,0
"12","soul",0,0,0,0,0,0,0,0,0,0
"13","numerous",0,0,0,0,0,0,0,0,0,0
"14","collections",0,0,0,0,0,0,0,0,0,0
"15","laid",0,0,0,0,0,0,0,0,0,0
"16","british",0,0,0,0,0,0,0,0,0,0
"17","museum",0,0,0,0,0,0,0,0,0,0
"18","worth",0,0,0,0,0,0,0,0,0,1
"19","visit",0,0,0,0,0,0,0,0,0,1
"20","matter",0,0,0,0,0,0,0,0,0,0
"21","times",0,0,0,0,0,0,0,0,0,0
"22","visited",0,0,0,0,0,0,0,0,0,0
"23","huge",0,0,0,0,0,0,0,0,0,0
"24","collection",0,0,0,0,0,0,0,0,0,0
"25","displayed",0,0,0,0,0,0,0,0,0,0
"26","offers",0,0,0,0,0,0,0,0,0,0
"27","fun",0,1,0,0,1,0,0,0,0,1
"28","age",0,0,0,0,0,0,0,0,0,0
"29","reason",0,0,0,0,0,0,0,0,0,1
"30","visit",0,0,0,0,0,0,0,0,0,1
"31","free",0,0,0,0,0,0,0,0,0,0
"32","permanet",0,0,0,0,0,0,0,0,0,0
"33","collection",0,0,0,0,0,0,0,0,0,0
"34","tier",0,0,0,0,0,0,0,0,0,0
"35","london",0,0,0,0,0,0,0,0,0,0
"36","incredibly",0,0,0,0,0,0,0,0,0,0
"37","safe",0,0,0,0,1,0,0,1,0,1
"38","socially",0,0,0,0,0,0,0,0,0,0
"39","distanced",0,0,0,0,0,0,0,0,0,0
"40","artefacts",0,0,0,0,0,0,0,0,0,0
"41","breathtaking",0,0,0,0,0,0,0,0,0,0
"42","civilisations",0,0,0,0,0,0,0,0,0,0
"43","entrance",0,0,0,0,0,0,0,0,0,0
"44","beautiful",0,0,0,0,1,0,0,0,0,1
"45","history",0,0,0,0,0,0,0,0,0,0
"46","lover",0,1,0,0,1,0,0,1,0,1
"47","advise",0,0,0,0,0,0,0,1,0,1
"48","museum",0,0,0,0,0,0,0,0,0,0
"49","visit",0,0,0,0,0,0,0,0,0,1
"50","london",0,0,0,0,0,0,0,0,0,0
"51","londoner",0,0,0,0,0,0,0,0,0,0
"52","im",0,0,0,0,0,0,0,0,0,0
"53","super",0,0,0,0,0,0,0,0,0,0
"54","surprised",0,0,0,0,0,0,1,0,0,0
"55","egyptian",0,0,0,0,0,0,0,0,0,0
"56","artefacts",0,0,0,0,0,0,0,0,0,0
"57","beautiful",0,0,0,0,1,0,0,0,0,1
"58","london",0,0,0,0,0,0,0,0,0,0
"59","british",0,0,0,0,0,0,0,0,0,0
"60","museum",0,0,0,0,0,0,0,0,0,0
"61","collection",0,0,0,0,0,0,0,0,0,0
"62","phenomenal",0,0,0,0,0,0,0,0,0,0
"63","staff",0,0,0,0,0,0,0,0,0,0
"64","friendly",0,1,0,0,1,0,0,1,0,1
"65","facilities",0,0,0,0,0,0,0,0,0,0
"66","clean",0,0,0,0,1,0,0,1,0,1
"67","limited",1,0,0,0,0,1,0,0,1,0
"68","waiting",0,0,0,0,0,0,0,0,0,0
"69","time",0,1,0,0,0,0,0,0,0,0
"70","excellent",0,0,0,0,1,0,0,1,0,1
"71","cafes",0,0,0,0,0,0,0,0,0,0
"72","fantastic",0,0,0,0,0,0,0,0,0,0
"73","learn",0,0,0,0,0,0,0,0,0,1
"74","ancient",0,0,0,0,0,0,0,0,1,0
"75","civilisations",0,0,0,0,0,0,0,0,0,0
"76","walk",0,0,0,0,0,0,0,0,0,0
"77","building",0,0,0,0,0,0,0,0,0,1
"78","entering",0,0,0,0,0,0,0,0,0,0
"79","grand",0,0,0,0,0,0,0,0,0,0
"80","hall",0,0,0,0,0,0,0,0,0,0
"81","pretty",0,1,0,0,1,0,0,1,0,1
"82","special",0,0,0,0,1,0,0,0,0,1
"83","kids",0,0,0,0,0,0,0,0,0,0
"84","couldn’t",0,0,0,0,0,0,0,0,0,0
"85","reached",0,0,0,0,0,0,0,0,0,0
"86","limited",1,0,0,0,0,1,0,0,1,0
"87","super",0,0,0,0,0,0,0,0,0,0
"88","excited",0,1,0,0,1,0,1,1,0,1
"89","stuff",0,0,0,0,0,0,0,0,0,0
"90","te",0,0,0,0,0,0,0,0,0,0
"91","kong",0,0,0,0,0,0,0,0,0,0
"92","love",0,0,0,0,1,0,0,0,0,1
"93","history",0,0,0,0,0,0,0,0,0,0
"94","spend",0,0,0,0,0,0,0,0,0,0
"95","days",0,0,0,0,0,0,0,0,0,0
"96","wandering",0,0,0,0,0,0,0,0,0,0
"97","intrigue",0,1,0,1,0,0,1,0,1,0
"98","museum",0,0,0,0,0,0,0,0,0,0
"99","week",0,0,0,0,0,0,0,0,0,0
"100","wasn’t",0,0,0,0,0,0,0,0,0,0
"101","disappointed",1,0,1,0,0,1,0,0,1,0
"102","artic",0,0,0,0,0,0,0,0,0,0
"103","exhibition",0,0,0,0,0,0,0,0,0,0
"104","learnt",0,0,0,0,0,0,0,0,0,0
"105","lot",0,0,0,0,0,0,0,0,0,0
"106","fascinating",0,0,0,0,0,0,0,0,0,1
"107","stuff",0,0,0,0,0,0,0,0,0,0
"108","inuits",0,0,0,0,0,0,0,0,0,0
"109","lived",0,0,0,0,0,0,0,0,0,0
"110","inuits",0,0,0,0,0,0,0,0,0,0
"111","fabulous",0,0,0,0,0,0,0,0,0,0
"112","ivory",0,0,0,0,0,0,0,0,0,0
"113","sculptures",0,0,0,0,0,0,0,0,0,0
"114","rosetta",0,0,0,0,0,0,0,0,0,0
"115","decided",0,0,0,0,0,0,0,0,0,0
"116","book",0,0,0,0,0,0,0,0,0,0
"117","visit",0,0,0,0,0,0,0,0,0,1
"118","tier",0,0,0,0,0,0,0,0,0,0
"119","threewho",0,0,0,0,0,0,0,0,0,0
"120","endthis",0,0,0,0,0,0,0,0,0,0
"121","visitlast",0,0,0,0,0,0,0,0,0,0
"122","septemberfollowed",0,0,0,0,0,0,0,0,0,0
"123","system",0,0,0,0,0,0,0,1,0,0
"124","half",0,0,0,0,0,0,0,0,0,0
"125","hoursi",0,0,0,0,0,0,0,0,0,0
"126","prefer",0,0,0,0,0,0,0,1,0,1
"127","system",0,0,0,0,0,0,0,1,0,0
"128","vand",0,0,0,0,0,0,0,0,0,0
"129","awhere",0,0,0,0,0,0,0,0,0,0
"130","exhibition",0,0,0,0,0,0,0,0,0,0
"131","viewer",0,0,0,0,0,0,0,0,0,0
"132","depth",0,0,0,0,0,0,0,1,0,1
"133","lifestyle",0,0,0,0,0,0,0,0,0,0
"134","art",0,1,0,0,1,1,1,0,0,1
"135","history",0,0,0,0,0,0,0,0,0,0
"136","culture",0,0,0,0,0,0,0,0,0,1
"137","living",0,0,0,0,0,0,0,0,0,0
"138","arctic",0,0,0,0,0,0,0,0,0,0
"139","circle",0,0,0,0,0,0,0,0,0,0
"140","recommend",0,0,0,0,0,0,0,1,0,1
"141","clean",0,0,0,0,1,0,0,1,0,1
"142","quiet",0,0,0,0,0,1,0,0,0,1
"143","time",0,1,0,0,0,0,0,0,0,0
"144","museum",0,0,0,0,0,0,0,0,0,0
"145","visit",0,0,0,0,0,0,0,0,0,1
"146","crowd",0,0,0,0,0,0,0,0,0,0
"147","atmosphere",0,0,0,0,0,0,0,0,0,0
"148","perfect",0,1,0,0,1,0,0,1,0,1
"149","ufc",0,0,0,0,0,0,0,0,0,0
"150","family",0,0,0,0,0,0,0,0,0,0
"151","paintings",0,0,0,0,0,0,0,0,0,0
"152","sadly",0,0,0,0,0,1,0,0,1,0
"153","passed",0,0,0,0,0,0,0,0,0,0
"154","art",0,1,0,0,1,1,1,0,0,1
"155","lives",0,0,0,0,0,0,0,0,0,0
"156","enjoyable",0,0,0,0,0,0,0,0,0,0
"157","visit",0,0,0,0,0,0,0,0,0,1
"158","plenty",0,0,0,0,0,0,0,0,0,0
"159","range",0,0,0,0,0,0,0,0,0,0
"160","exhibits",0,0,0,0,0,0,0,0,0,0
"161","manged",0,0,0,0,0,0,0,0,0,0
"162","route",0,0,0,0,0,0,0,0,0,0
"163","means",0,0,0,0,0,0,0,0,0,0
"164","view",0,0,0,0,0,0,0,0,0,0
"165","plenty",0,0,0,0,0,0,0,0,0,0
"166","staff",0,0,0,0,0,0,0,0,0,0
"167","hand",0,0,0,0,0,0,0,0,0,0
"168","museums",0,0,0,0,0,0,0,0,0,0
"169","london",0,0,0,0,0,0,0,0,0,0
"170","wide",0,0,0,0,0,0,0,0,0,0
"171","range",0,0,0,0,0,0,0,0,0,0
"172","displays",0,0,0,0,0,0,0,0,0,0
"173","covering",0,0,0,0,0,0,0,0,0,0
"174","periods",0,0,0,0,0,0,0,0,0,0
"175","history",0,0,0,0,0,0,0,0,0,0
"176","ground",0,0,0,0,0,0,0,1,0,0
"177","floor",0,0,0,0,0,0,0,0,0,0
"178","museum",0,0,0,0,0,0,0,0,0,0
"179","bewildering",0,0,0,0,0,0,0,0,0,0
"180","contents",0,0,0,0,0,0,0,0,0,0
"181","museum",0,0,0,0,0,0,0,0,0,0
"182","british",0,0,0,0,0,0,0,0,0,0
"183","treasure",0,1,0,0,1,0,0,1,0,1
"184","visit",0,0,0,0,0,0,0,0,0,1
"185","learn",0,0,0,0,0,0,0,0,0,1
"186","british",0,0,0,0,0,0,0,0,0,0
"187","museum",0,0,0,0,0,0,0,0,0,0
"188","book",0,0,0,0,0,0,0,0,0,0
"189","cover",0,0,0,0,0,0,0,1,0,0
"190","essentials",0,0,0,0,0,0,0,0,0,0
"191","britain’s",0,0,0,0,0,0,0,0,0,0
"192","venerated",0,0,0,0,0,0,0,0,0,0
"193","museum",0,0,0,0,0,0,0,0,0,0
"194","treasures",0,0,0,0,0,0,0,0,0,0
"195","world",0,0,0,0,0,0,0,0,0,0
"196","colonial",0,0,0,0,0,0,0,0,0,0
"197","period",0,0,0,0,0,0,0,0,0,0
"198","british",0,0,0,0,0,0,0,0,0,0
"199","explorers",0,0,0,0,0,0,0,0,0,0
"200","agents",0,0,0,0,0,0,0,0,0,0
"201","found",0,0,0,0,1,0,0,1,0,1
"202","examples",0,0,0,0,0,0,0,0,0,0
"203","world",0,0,0,0,0,0,0,0,0,0
"204","brought",0,0,0,0,0,0,0,0,0,0
"205","day",0,0,0,0,0,0,0,0,0,0
"206","family",0,0,0,0,0,0,0,0,0,0
"207","educational",0,0,0,0,0,0,0,1,0,1
"208","sight",0,0,0,0,0,0,0,0,0,0
"209","museum",0,0,0,0,0,0,0,0,0,0
"210","offers",0,0,0,0,0,0,0,0,0,0
"211","travel",0,0,0,0,0,0,0,0,0,0
"212","ancient",0,0,0,0,0,0,0,0,1,0
"213","egypt",0,0,0,0,0,0,0,0,0,0
"214","frontlines",0,0,0,0,0,0,0,0,0,0
"215","world",0,0,0,0,0,0,0,0,0,0
"216","war",0,0,0,1,0,0,0,0,1,0
"217","history",0,0,0,0,0,0,0,0,0,0
"218","museums",0,0,0,0,0,0,0,0,0,0
"219","ive",0,0,0,0,0,0,0,0,0,0
"220","complex",0,0,0,0,0,0,0,0,0,0
"221","parthenon",0,0,0,0,0,0,0,0,0,0
"222","marbles",0,0,0,0,0,0,0,0,0,0
"223","dont",0,0,0,0,0,0,0,0,0,0
"224","belong",0,0,0,0,0,0,0,0,0,0
"225","unfortunate",0,0,0,0,0,1,0,0,1,0
"226","museum",0,0,0,0,0,0,0,0,0,0
"227","returned",0,0,0,0,0,0,0,0,0,0
"228","buildings",0,0,0,0,0,0,0,0,0,0
"229","ancient",0,0,0,0,0,0,0,0,1,0
"230","times",0,0,0,0,0,0,0,0,0,0
"231","greece",0,0,0,0,0,0,0,0,0,0
"232","booked",0,0,0,0,0,0,0,0,0,0
"233","tickets",0,0,0,0,0,0,0,0,0,0
"234","line",0,0,0,0,0,0,0,0,0,0
"235","time",0,1,0,0,0,0,0,0,0,0
"236","straight",0,0,0,0,0,0,0,0,0,0
"237","safe",0,0,0,0,1,0,0,1,0,1
"238","amazing",0,0,0,0,0,0,0,0,0,0
"239","antiquities",0,0,0,0,0,0,0,0,0,0
"240","setting",0,0,0,0,0,0,0,0,0,0
"241","compact",0,0,0,0,0,0,0,1,0,0
"242","closed",0,0,0,0,0,0,0,0,0,0
"243","highlights",0,0,0,0,0,0,0,0,0,0
"244","ancient",0,0,0,0,0,0,0,0,1,0
"245","greek",0,0,0,0,0,0,0,0,0,0
"246","section",0,0,0,0,0,0,0,0,0,0
"247","booked",0,0,0,0,0,0,0,0,0,0
"248","slot",0,0,0,0,0,0,0,0,0,0
"249","spent",0,0,0,0,0,0,0,0,1,0
"250","minutes",0,0,0,0,0,0,0,0,0,0
"251","excellent",0,0,0,0,1,0,0,1,0,1
"252","lot",0,0,0,0,0,0,0,0,0,0
"253","people",0,0,0,0,0,0,0,0,0,0
"254","exhibits",0,0,0,0,0,0,0,0,0,0
"255","time",0,1,0,0,0,0,0,0,0,0
"256","space",0,0,0,0,0,0,0,0,0,0
"257","visit",0,0,0,0,0,0,0,0,0,1
"258","experience",0,0,0,0,0,0,0,0,0,0
"259","valuable",0,0,0,0,0,0,0,0,0,1
"260","collection",0,0,0,0,0,0,0,0,0,0
"261","fascinating",0,0,0,0,0,0,0,0,0,1
"262","pieces",0,0,0,0,0,0,0,0,0,0
"263","display",0,0,0,0,0,0,0,0,0,0
"264","day",0,0,0,0,0,0,0,0,0,0
"265","friends",0,0,0,0,0,0,0,0,0,0
"266","tantra",0,0,0,0,0,0,0,0,0,0
"267","exhibition",0,0,0,0,0,0,0,0,0,0
"268","letting",0,0,0,0,0,0,0,0,0,0
"269","people",0,0,0,0,0,0,0,0,0,0
"270","queue",0,0,0,0,0,0,0,0,0,0
"271","enter",0,0,0,0,0,0,0,0,0,0
"272","time",0,1,0,0,0,0,0,0,0,0
"273","slot",0,0,0,0,0,0,0,0,0,0
"274","inside",0,0,0,0,0,0,0,0,0,0
"275","super",0,0,0,0,0,0,0,0,0,0
"276","crowded",0,0,0,0,0,0,0,0,0,0
"277","packed",0,0,0,0,0,0,0,0,0,0
"278","youd",0,0,0,0,0,0,0,0,0,0
"279","middle",0,0,0,0,0,0,0,0,0,0
"280","pandemic",0,0,0,1,0,1,0,0,1,0
"281","wasnt",0,0,0,0,0,0,0,0,0,0
"282","safe",0,0,0,0,1,0,0,1,0,1
"283","left",0,0,0,0,0,0,0,0,0,0
"284","impossible",0,0,0,0,0,1,0,0,1,0
"285","manage",0,0,0,0,0,0,0,1,0,1
"286","safe",0,0,0,0,1,0,0,1,0,1
"287","distancing",0,0,0,0,0,0,0,0,0,0
"288","unfriendly",1,0,1,1,0,1,0,0,1,0
"289","staff",0,0,0,0,0,0,0,0,0,0
"290","children",0,0,0,0,0,0,0,0,0,0
"291","amused",0,0,0,0,1,0,0,0,0,1
"292","half",0,0,0,0,0,0,0,0,0,0
"293","term",0,0,0,0,0,0,0,0,0,0
"294","week",0,0,0,0,0,0,0,0,0,0
"295","lots",0,0,0,0,0,0,0,0,0,0
"296","blocked",0,0,0,0,0,0,0,0,0,0
"297","including",0,0,0,0,0,0,0,0,0,1
"298","toilets",0,0,0,0,0,0,0,0,0,0
"299","poor",0,0,0,0,0,0,0,0,0,0
"300","pre",0,0,0,0,0,0,0,0,0,0
"301","booked",0,0,0,0,0,0,0,0,0,0
"302","ticket",0,0,0,0,0,0,0,0,0,0
"303","online",0,0,0,0,0,0,0,0,0,0
"304","walked",0,0,0,0,0,0,0,0,0,0
"305","waiting",0,0,0,0,0,0,0,0,0,0
"306","usual",0,0,0,0,0,0,0,1,0,1
"307","scrum",0,0,0,0,0,0,0,0,0,0
"308","disappointed",1,0,1,0,0,1,0,0,1,0
"309","amount",0,0,0,0,0,0,0,0,0,0
"310","galleries",0,0,0,0,0,0,0,0,0,0
"311","werent",0,0,0,0,0,0,0,0,0,0
"312","accessible",0,0,0,0,0,0,0,0,0,1
"313","moment",0,0,0,0,0,0,0,0,0,0
"314","understand",0,0,0,0,0,0,0,0,0,0
