"","title","writer","written","rating","word","sentiment"
"1","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"overwhelmed","negative"
"2","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"overwhelmed","sadness"
"3","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"culture","positive"
"4","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"prepared","anticipation"
"5","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"prepared","positive"
"6","Remarkable Repository of Culture","paulyMaine","Jan 10",5,"prepared","trust"
"7","Amazing Museum","Tati_Luz","Jan 5",5,"worth","positive"
"8","Amazing Museum","Tati_Luz","Jan 5",5,"visit","positive"
"9","Amazing Museum","Tati_Luz","Jan 5",5,"fun","anticipation"
"10","Amazing Museum","Tati_Luz","Jan 5",5,"fun","joy"
"11","Amazing Museum","Tati_Luz","Jan 5",5,"fun","positive"
"12","Amazing Museum","Tati_Luz","Jan 5",5,"reason","positive"
"13","Amazing Museum","Tati_Luz","Jan 5",5,"visit","positive"
"14","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"safe","joy"
"15","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"safe","positive"
"16","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"safe","trust"
"17","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"beautiful","joy"
"18","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"beautiful","positive"
"19","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"lover","anticipation"
"20","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"lover","joy"
"21","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"lover","positive"
"22","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"lover","trust"
"23","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"advise","positive"
"24","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"advise","trust"
"25","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"visit","positive"
"26","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"surprised","surprise"
"27","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"beautiful","joy"
"28","Beautiful, must see museum!","raynerjosephine","Dec 2020",5,"beautiful","positive"
"29","Make sure you donate!","Ipek","Dec 2020",5,"friendly","anticipation"
"30","Make sure you donate!","Ipek","Dec 2020",5,"friendly","joy"
"31","Make sure you donate!","Ipek","Dec 2020",5,"friendly","positive"
"32","Make sure you donate!","Ipek","Dec 2020",5,"friendly","trust"
"33","Make sure you donate!","Ipek","Dec 2020",5,"clean","joy"
"34","Make sure you donate!","Ipek","Dec 2020",5,"clean","positive"
"35","Make sure you donate!","Ipek","Dec 2020",5,"clean","trust"
"36","Make sure you donate!","Ipek","Dec 2020",5,"limited","anger"
"37","Make sure you donate!","Ipek","Dec 2020",5,"limited","negative"
"38","Make sure you donate!","Ipek","Dec 2020",5,"limited","sadness"
"39","Make sure you donate!","Ipek","Dec 2020",5,"time","anticipation"
"40","Make sure you donate!","Ipek","Dec 2020",5,"excellent","joy"
"41","Make sure you donate!","Ipek","Dec 2020",5,"excellent","positive"
"42","Make sure you donate!","Ipek","Dec 2020",5,"excellent","trust"
"43","Make sure you donate!","Ipek","Dec 2020",5,"learn","positive"
"44","Make sure you donate!","Ipek","Dec 2020",5,"ancient","negative"
"45","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"building","positive"
"46","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"pretty","anticipation"
"47","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"pretty","joy"
"48","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"pretty","positive"
"49","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"pretty","trust"
"50","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"special","joy"
"51","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"special","positive"
"52","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"limited","anger"
"53","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"limited","negative"
"54","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"limited","sadness"
"55","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"excited","anticipation"
"56","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"excited","joy"
"57","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"excited","positive"
"58","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"excited","surprise"
"59","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"excited","trust"
"60","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"love","joy"
"61","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"love","positive"
"62","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"intrigue","anticipation"
"63","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"intrigue","fear"
"64","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"intrigue","negative"
"65","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"intrigue","surprise"
"66","Very Very Good","Borisandhis60kids","Dec 2020",5,"disappointed","anger"
"67","Very Very Good","Borisandhis60kids","Dec 2020",5,"disappointed","disgust"
"68","Very Very Good","Borisandhis60kids","Dec 2020",5,"disappointed","negative"
"69","Very Very Good","Borisandhis60kids","Dec 2020",5,"disappointed","sadness"
"70","Very Very Good","Borisandhis60kids","Dec 2020",5,"fascinating","positive"
"71","British Museum 15.12.20","hilary d","Dec 2020",4,"visit","positive"
"72","British Museum 15.12.20","hilary d","Dec 2020",4,"system","trust"
"73","British Museum 15.12.20","hilary d","Dec 2020",4,"prefer","positive"
"74","British Museum 15.12.20","hilary d","Dec 2020",4,"prefer","trust"
"75","British Museum 15.12.20","hilary d","Dec 2020",4,"system","trust"
"76","Arctic","sheepygold","Dec 2020",5,"depth","positive"
"77","Arctic","sheepygold","Dec 2020",5,"depth","trust"
"78","Arctic","sheepygold","Dec 2020",5,"art","anticipation"
"79","Arctic","sheepygold","Dec 2020",5,"art","joy"
"80","Arctic","sheepygold","Dec 2020",5,"art","positive"
"81","Arctic","sheepygold","Dec 2020",5,"art","sadness"
"82","Arctic","sheepygold","Dec 2020",5,"art","surprise"
"83","Arctic","sheepygold","Dec 2020",5,"culture","positive"
"84","Arctic","sheepygold","Dec 2020",5,"recommend","positive"
"85","Arctic","sheepygold","Dec 2020",5,"recommend","trust"
"86","Easy access.....! ","Stanimirko","Dec 2020",5,"clean","joy"
"87","Easy access.....! ","Stanimirko","Dec 2020",5,"clean","positive"
"88","Easy access.....! ","Stanimirko","Dec 2020",5,"clean","trust"
"89","Easy access.....! ","Stanimirko","Dec 2020",5,"quiet","positive"
"90","Easy access.....! ","Stanimirko","Dec 2020",5,"quiet","sadness"
"91","Easy access.....! ","Stanimirko","Dec 2020",5,"time","anticipation"
"92","Easy access.....! ","Stanimirko","Dec 2020",5,"visit","positive"
"93","Easy access.....! ","Stanimirko","Dec 2020",5,"perfect","anticipation"
"94","Easy access.....! ","Stanimirko","Dec 2020",5,"perfect","joy"
"95","Easy access.....! ","Stanimirko","Dec 2020",5,"perfect","positive"
"96","Easy access.....! ","Stanimirko","Dec 2020",5,"perfect","trust"
"97","Long visit ","Amy C","Dec 2020",3,"sadly","negative"
"98","Long visit ","Amy C","Dec 2020",3,"sadly","sadness"
"99","Long visit ","Amy C","Dec 2020",3,"art","anticipation"
"100","Long visit ","Amy C","Dec 2020",3,"art","joy"
"101","Long visit ","Amy C","Dec 2020",3,"art","positive"
"102","Long visit ","Amy C","Dec 2020",3,"art","sadness"
"103","Long visit ","Amy C","Dec 2020",3,"art","surprise"
"104","Enjoyable Visit, well managed.","Emily","Dec 2020",5,"visit","positive"
"105","Our day at the British Museum","Frank/Francis Farmer","Dec 2020",4,"ground","trust"
"106","Our day at the British Museum","Frank/Francis Farmer","Dec 2020",4,"treasure","anticipation"
"107","Our day at the British Museum","Frank/Francis Farmer","Dec 2020",4,"treasure","joy"
"108","Our day at the British Museum","Frank/Francis Farmer","Dec 2020",4,"treasure","positive"
"109","Our day at the British Museum","Frank/Francis Farmer","Dec 2020",4,"treasure","trust"
"110","Our day at the British Museum","Frank/Francis Farmer","Dec 2020",4,"visit","positive"
"111","Our day at the British Museum","Frank/Francis Farmer","Dec 2020",4,"learn","positive"
"112","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"cover","trust"
"113","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"found","joy"
"114","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"found","positive"
"115","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"found","trust"
"116","great day out","Ameillia Cameron-clarke","Nov 2020",5,"educational","positive"
"117","great day out","Ameillia Cameron-clarke","Nov 2020",5,"educational","trust"
"118","Historical journey","Cristian Barbu","Nov 2020",5,"ancient","negative"
"119","Historical journey","Cristian Barbu","Nov 2020",5,"war","fear"
"120","Historical journey","Cristian Barbu","Nov 2020",5,"war","negative"
"121","Parthenon murbles","Fhftg","Nov 2020",1,"unfortunate","negative"
"122","Parthenon murbles","Fhftg","Nov 2020",1,"unfortunate","sadness"
"123","Parthenon murbles","Fhftg","Nov 2020",1,"ancient","negative"
"124","Excellent despite challenging circumstances ","MJH1","Nov 2020",5,"time","anticipation"
"125","Excellent despite challenging circumstances ","MJH1","Nov 2020",5,"safe","joy"
"126","Excellent despite challenging circumstances ","MJH1","Nov 2020",5,"safe","positive"
"127","Excellent despite challenging circumstances ","MJH1","Nov 2020",5,"safe","trust"
"128","Excellent despite challenging circumstances ","MJH1","Nov 2020",5,"compact","trust"
"129","Make the effort to visit now","Chris W","Nov 2020",4,"ancient","negative"
"130","Make the effort to visit now","Chris W","Nov 2020",4,"spent","negative"
"131","Make the effort to visit now","Chris W","Nov 2020",4,"excellent","joy"
"132","Make the effort to visit now","Chris W","Nov 2020",4,"excellent","positive"
"133","Make the effort to visit now","Chris W","Nov 2020",4,"excellent","trust"
"134","Make the effort to visit now","Chris W","Nov 2020",4,"time","anticipation"
"135","Make the effort to visit now","Chris W","Nov 2020",4,"visit","positive"
"136","Great day out in London at the BM","Amy P","Nov 2020",4,"valuable","positive"
"137","Great day out in London at the BM","Amy P","Nov 2020",4,"fascinating","positive"
"138","Overcrowded","Sam B","Oct 2020",1,"time","anticipation"
"139","Overcrowded","Sam B","Oct 2020",1,"pandemic","fear"
"140","Overcrowded","Sam B","Oct 2020",1,"pandemic","negative"
"141","Overcrowded","Sam B","Oct 2020",1,"pandemic","sadness"
"142","Overcrowded","Sam B","Oct 2020",1,"safe","joy"
"143","Overcrowded","Sam B","Oct 2020",1,"safe","positive"
"144","Overcrowded","Sam B","Oct 2020",1,"safe","trust"
"145","Overcrowded","Sam B","Oct 2020",1,"impossible","negative"
"146","Overcrowded","Sam B","Oct 2020",1,"impossible","sadness"
"147","Overcrowded","Sam B","Oct 2020",1,"manage","positive"
"148","Overcrowded","Sam B","Oct 2020",1,"manage","trust"
"149","Overcrowded","Sam B","Oct 2020",1,"safe","joy"
"150","Overcrowded","Sam B","Oct 2020",1,"safe","positive"
"151","Overcrowded","Sam B","Oct 2020",1,"safe","trust"
"152","Miserable staff","Roberta N","Oct 2020",2,"unfriendly","anger"
"153","Miserable staff","Roberta N","Oct 2020",2,"unfriendly","disgust"
"154","Miserable staff","Roberta N","Oct 2020",2,"unfriendly","fear"
"155","Miserable staff","Roberta N","Oct 2020",2,"unfriendly","negative"
"156","Miserable staff","Roberta N","Oct 2020",2,"unfriendly","sadness"
"157","Miserable staff","Roberta N","Oct 2020",2,"amused","joy"
"158","Miserable staff","Roberta N","Oct 2020",2,"amused","positive"
"159","Miserable staff","Roberta N","Oct 2020",2,"including","positive"
"160","Not everything accessible","DDav","Oct 2020",4,"usual","positive"
"161","Not everything accessible","DDav","Oct 2020",4,"usual","trust"
"162","Not everything accessible","DDav","Oct 2020",4,"disappointed","anger"
"163","Not everything accessible","DDav","Oct 2020",4,"disappointed","disgust"
"164","Not everything accessible","DDav","Oct 2020",4,"disappointed","negative"
"165","Not everything accessible","DDav","Oct 2020",4,"disappointed","sadness"
"166","Not everything accessible","DDav","Oct 2020",4,"accessible","positive"
"167","Good tour for British history","Charlie","Oct 2020",5,"learn","positive"
"168","Good tour for British history","Charlie","Oct 2020",5,"information","positive"
"169","Good tour for British history","Charlie","Oct 2020",5,"forward","positive"
"170","Amazing venue...","Dennis","Oct 2020",4,"spectacular","anticipation"
"171","Amazing venue...","Dennis","Oct 2020",4,"spectacular","surprise"
"172","Arctic exhibition","HoffDog37","Oct 2020",4,"spectacular","anticipation"
"173","Arctic exhibition","HoffDog37","Oct 2020",4,"spectacular","surprise"
"174","Arctic exhibition","HoffDog37","Oct 2020",4,"special","joy"
"175","Arctic exhibition","HoffDog37","Oct 2020",4,"special","positive"
"176","Arctic exhibition","HoffDog37","Oct 2020",4,"expected","anticipation"
"177","Small but perfectly formed","Kayleigh B","Oct 2020",4,"daughter","joy"
"178","Small but perfectly formed","Kayleigh B","Oct 2020",4,"daughter","positive"
"179","Small but perfectly formed","Kayleigh B","Oct 2020",4,"time","anticipation"
"180","Small but perfectly formed","Kayleigh B","Oct 2020",4,"bad","anger"
"181","Small but perfectly formed","Kayleigh B","Oct 2020",4,"bad","disgust"
"182","Small but perfectly formed","Kayleigh B","Oct 2020",4,"bad","fear"
